"id","idLicitacao","nome","nomeArquivo","dataPublicacao","created_at","updated_at","descricao","ordem","idCategoriaArquivoLicitacao","numeroDownload","remoto"
"787","347","1 - EDITAL","1-EDITAL_(706).pdf","23/4/2024 22:00:45","21/1/2019 18:58:35","23/4/2024 22:00:45","","9999","1","16","0"
"788","347","1.2 - ANEXO II - MINUTA DA DECLARAÇÃO DE VISTORIA","12-ANEXO-II-MINUTA-DA-DECL-DE-VISTORIA.pdf","23/4/2024 22:01:32","21/1/2019 18:58:49","23/4/2024 22:01:32","","9999","1","8","0"
"789","347","1.3 - ANEXO III - MINUTA DA DECLARAÇÃO INEXISTÊNCIA DE FATOS","13-ANEXO-III-MINUTA-DA-DECL-INEXISTENCIA-DE-FATOS.pdf","6/2/2019 16:40:32","21/1/2019 18:59:20","6/2/2019 16:40:32","","9999","1","4","0"
"790","347","1.4 - ANEXO IV - MINUTA DA DECLARAÇÃO QUE NÃO EMPREGA MENOR","14-ANEXO-IV-MINUTA-DA-DECL-QUE-NAO-EMPREGA-MENOR.pdf","6/2/2019 16:52:28","21/1/2019 19:00:01","6/2/2019 16:52:28","","9999","1","3","0"
"791","347","1.5 - ANEXO V - MINUTA DO CONTRATO","15-ANEXO-V-MINUTA-DO-CONTRATO_(869).pdf","13/12/2022 14:44:29","21/1/2019 19:00:40","13/12/2022 14:44:29","","9999","1","5","0"
"792","347","1.6 - ANEXO VI - MINUTA DA DECLARAÇÃO PLENO ATENDIMENTO","16-ANEXO-VI-MINUTA-DA-DECL-PLENO-ATENDIMENTO.pdf","23/1/2019 15:14:43","21/1/2019 19:00:56","23/1/2019 15:14:43","","9999","1","2","0"
"793","347","1.7 - ANEXO VII - MINUTA DA DECLARAÇÃO CONTADOR","17-ANEXO-VII-MINUTA-DA-DECL-CONTADOR.pdf","13/12/2022 14:45:36","21/1/2019 19:01:35","13/12/2022 14:45:36","","9999","1","4","0"
"794","347","1.8 - ANEXO VIII - MINUTA DA DECL. REP. LEGAL","18-ANEXO-VIII-MINUTA-DA-DECL-REP-LEGAL.pdf","23/1/2019 15:15:24","21/1/2019 19:01:57","23/1/2019 15:15:24","","9999","1","2","0"
"795","347","1.9 - ANEXO IX - MINUTA DA DECL. DE AUSÊNCIA DE PARENTESCO","19-ANEXO-IX-MINUTA-DA-DECL-DE-AUSENCIA-DE-PARENTESCO.pdf","6/2/2019 16:45:50","21/1/2019 19:02:08","6/2/2019 16:45:50","","9999","1","3","0"
"796","347","1.10 - ANEXO X - MINUTA DA PROPOSTA","110-ANEXO-X-MINUTA-DA-PROPOSTA.pdf","23/4/2024 22:02:09","21/1/2019 19:02:28","23/4/2024 22:02:09","","9999","1","7","0"
"797","347","2 - AVISO DE EDITAL","AVISO-DE-EDITAL_(297).pdf","13/1/2023 21:35:55","21/1/2019 19:02:39","13/1/2023 21:35:55","","9999","1","7","0"
"798","346","1 - EDITAL","1-EDITAL.pdf","12/1/2022 16:49:56","21/1/2019 19:30:39","12/1/2022 16:49:56","EDITAL","1","1","10","0"
